"D2015","D2015 - Nominal","K2015 ","D2020","D2020 - Nominal","T2020","BIEDRON","BOSAK","DUDA","HOŁOWNIA","JAKUBIAK","KOS-KAM","PIOTROWSKI","TANAJNO","TRZASK","WITK","ŻÓŁTEK","KO","KONF","PSL","PIS","SLD","NP","NoLegVot - T1 2020","NoLegVot - T2 2020","NoVoters - T1 2020","NoVoters - T2 2020","VotFreq T1 2020","VotFreq T2 2020"
37.23,"T",62.77,29.77,"T",70.23,3.04,5.71,24.57,14.16,0.2,1.94,0.1,0.16,49.57,0.26,0.28,44.55,6.74,5.38,25.64,17.7,,71928,71494,96138,91009,74.67,78.56
39.2,"T",60.8,30.68,"T",69.32,2.87,6.52,23.87,16.61,0.32,1.99,0.1,0.19,46.98,0.25,0.3,42.98,7.32,6.28,26.13,17.3,,71370,71263,92116,90099,77.29,79.09
43.62,"T",56.38,35.56,"T",64.44,3.37,5.77,29.83,12.95,0.22,1.63,0.11,0.16,45.4,0.25,0.31,41.28,6.66,4.61,30.97,16.48,,76817,76688,102830,100237,74.52,76.51
85.02,"D",14.98,87.98,"D",12.02,1.15,10.29,74.31,5.6,0.1,3.64,0.33,0.1,4.26,0.0,0.24,2.93,7.72,10.4,74.99,2.83,1.13,2097,2179,3340,3210,62.57,67.88
74.77,"D",25.23,77.26,"D",22.75,1.19,6.6,68.77,9.04,0.2,2.86,0.04,0.16,11.02,0.04,0.1,7.01,5.19,9.14,73.58,4.16,0.93,5047,5443,8409,8400,59.75,64.8
71.7,"D",28.3,80.42,"D",19.58,0.77,9.06,67.66,8.55,0.21,4.94,0.21,0.0,8.39,0.1,0.1,15.47,6.71,8.76,67.06,2.0,,1950,2028,3363,3337,57.75,60.77
78.36,"D",21.64,80.69,"D",19.31,1.3,7.31,71.58,6.38,0.09,3.44,0.04,0.05,9.56,0.13,0.16,5.51,6.26,12.61,70.41,4.9,0.62,3983,4380,6351,6404,62.62,68.39
55.48,"D",44.52,58.65,"D",41.35,1.9,7.96,48.69,13.86,0.09,2.93,0.04,0.06,24.11,0.11,0.24,17.85,7.5,12.57,47.95,12.39,1.75,5341,5548,9121,9063,58.38,61.22
45.92,"T",54.08,41.33,"T",58.67,2.61,5.84,35.13,16.05,0.15,1.92,0.06,0.15,37.7,0.2,0.18,44.84,5.91,4.07,32.81,10.98,1.4,17433,17887,24880,24603,69.88,72.7
60.42,"D",39.58,59.84,"D",40.16,1.84,6.63,51.18,13.13,0.25,2.58,0.04,0.1,23.93,0.03,0.27,23.3,7.44,8.09,51.34,9.83,,6688,6984,10008,9926,66.72,70.36
